Product,Amount,Boxes
50% Dark Bites,200991,19645
85% Dark Bars,310478,15800
99% Dark & Pure,295365,14830
After Nines,296695,10652
Almond Choco,229796,12601
Caramel Stuffed Bars,293797,11687
Choco Coated Almonds,256907,13871
Drinking Coco,179011,6913
Eclairs,244993,14995
Fruit & Nut Bars,230972,16509
Manuka Honey Choco,181216,6327
Milk Bars,283724,10650
Mint Chip Choco,239057,13680
Organic Choco Syrup,372876,14186
Peanut Butter Cubes,228123,10654
Raspberry Choco,190589,10582
Smooth Sliky Salty,244629,15810
Spicy Special Slims,304444,12544
White Choc,214102,15885
